iter	Passed	Remaining
1496	954	2234
1497	955	2234
1498	956	2233
1499	957	2234
1500	958	2233
1501	958	2232
1502	959	2232
1503	959	2231
1504	960	2230
1505	961	2230
1506	961	2228
1507	962	2228
1508	962	2227
1509	963	2225
1510	964	2226
1511	964	2225
1512	965	2224
1513	965	2223
1514	966	2222
1515	966	2221
1516	966	2220
1517	967	2218
1518	967	2217
1519	968	2216
1520	968	2215
1521	969	2214
1522	969	2213
1523	970	2212
1524	970	2212
1525	971	2212
1526	972	2211
1527	973	2211
1528	973	2210
1529	974	2209
1530	974	2208
1531	975	2207
1532	976	2208
1533	977	2207
1534	977	2206
1535	977	2205
1536	978	2204
1537	978	2203
1538	979	2202
1539	979	2200
1540	980	2200
1541	980	2199
1542	980	2197
1543	981	2196
1544	982	2197
1545	983	2196
1546	983	2195
1547	984	2194
1548	984	2193
1549	984	2192
1550	985	2191
1551	985	2190
1552	986	2189
1553	986	2188
1554	987	2187
1555	987	2186
1556	988	2185
1557	988	2184
1558	989	2184
1559	990	2183
1560	991	2183
1561	991	2182
1562	992	2181
1563	992	2180
1564	993	2180
1565	994	2179
1566	994	2179
1567	995	2178
1568	995	2177
1569	996	2176
1570	996	2175
1571	997	2175
1572	998	2174
1573	998	2174
1574	999	2172
1575	999	2172
1576	1000	2171
1577	1000	2170
1578	1001	2169
1579	1002	2169
1580	1002	2168
1581	1003	2169
1582	1004	2167
1583	1004	2166
1584	1005	2165
1585	1005	2164
1586	1006	2163
1587	1006	2163
1588	1007	2162
1589	1007	2161
1590	1008	2160
1591	1008	2159
1592	1009	2158
1593	1009	2157
1594	1011	2158
1595	1011	2157
1596	1012	2157
1597	1012	2156
1598	1013	2155
1599	1013	2154
1600	1014	2153
1601	1014	2152
1602	1015	2151
1603	1015	2151
1604	1016	2149
1605	1017	2149
1606	1017	2148
1607	1018	2147
1608	1018	2147
1609	1019	2146
1610	1019	2145
1611	1020	2144
1612	1020	2143
1613	1021	2142
1614	1021	2141
1615	1022	2140
1616	1022	2139
1617	1022	2137
1618	1023	2136
1619	1023	2135
1620	1024	2134
1621	1024	2133
1622	1025	2132
1623	1025	2131
1624	1026	2131
1625	1026	2130
1626	1027	2129
1627	1027	2129
1628	1028	2128
1629	1029	2129
1630	1030	2127
1631	1030	2127
1632	1032	2127
1633	1032	2127
1634	1033	2126
1635	1033	2125
1636	1034	2124
1637	1034	2123
1638	1035	2122
1639	1035	2121
1640	1036	2121
1641	1036	2120
1642	1037	2119
1643	1038	2119
1644	1038	2118
1645	1039	2118
1646	1040	2118
1647	1041	2117
1648	1041	2116
1649	1042	2115
1650	1042	2114
1651	1042	2113
1652	1043	2112
1653	1043	2111
1654	1044	2110
1655	1044	2109
1656	1045	2108
1657	1045	2107
1658	1046	2106
1659	1046	2106
1660	1047	2105
1661	1047	2104
1662	1049	2105
1663	1049	2104
1664	1050	2103
1665	1050	2103
1666	1051	2101
1667	1051	2101
1668	1052	2100
1669	1052	2099
1670	1053	2098
1671	1053	2097
1672	1054	2096
1673	1054	2095
1674	1055	2094
1675	1055	2093
1676	1055	2092
1677	1056	2092
1678	1057	2091
1679	1058	2091
1680	1058	2090
1681	1059	2089
1682	1059	2088
1683	1060	2087
1684	1060	2086
1685	1061	2085
1686	1061	2085
1687	1062	2083
